timestamp,value
2013-12-02 21:15:00,73.96732207
2013-12-02 23:50:00,81.56235567
2013-12-02 23:55:00,81.43553422
2013-12-03 02:30:00,86.37621858
2013-12-03 02:35:00,86.3421685
2013-12-03 05:10:00,90.54178741
2013-12-03 05:15:00,89.31712427
2013-12-03 07:50:00,83.67102071
2013-12-03 07:55:00,82.31952904
2013-12-03 10:30:00,80.9978684
2013-12-03 10:35:00,81.16723557
2013-12-03 13:10:00,80.11719562
2013-12-03 13:15:00,80.49280262
2013-12-03 15:50:00,84.38916448
2013-12-03 15:55:00,83.18147487
2013-12-03 18:30:00,81.49327887
2013-12-03 18:35:00,81.42247440000001
2013-12-03 21:10:00,83.45318420000002
2013-12-03 21:15:00,84.33273465
2013-12-03 23:50:00,67.95144903
2013-12-03 23:55:00,65.90649636
2013-12-04 02:30:00,66.49930690000001
2013-12-04 02:35:00,69.81211169
2013-12-04 05:10:00,88.13082806
2013-12-04 05:15:00,88.89966936
2013-12-04 07:50:00,91.26672743
2013-12-04 07:55:00,89.98528487
2013-12-04 10:30:00,91.5975513
2013-12-04 10:35:00,90.57501904
2013-12-04 13:10:00,85.23133389
2013-12-04 13:15:00,83.60369239
2013-12-04 15:50:00,87.38667453
2013-12-04 15:55:00,87.53885279
2013-12-04 18:30:00,88.31911026
2013-12-04 18:35:00,86.89757046
2013-12-04 21:10:00,80.13239831
2013-12-04 21:15:00,81.33413076
2013-12-04 23:50:00,81.25979414
2013-12-04 23:55:00,81.76280285
2013-12-05 02:30:00,81.72472683
2013-12-05 02:35:00,82.53245119
2013-12-05 05:10:00,82.83126064
2013-12-05 05:15:00,81.24678562
2013-12-05 07:50:00,79.55970927
2013-12-05 07:55:00,79.14382863
2013-12-05 10:30:00,71.15766235
2013-12-05 10:35:00,71.13846278
2013-12-05 13:10:00,65.05212543
2013-12-05 13:15:00,65.16487331
2013-12-05 15:50:00,65.61327929
2013-12-05 15:55:00,64.56349701
2013-12-05 18:30:00,57.74679739999999
2013-12-05 18:35:00,56.24537782
2013-12-05 21:10:00,65.98616848
2013-12-05 21:15:00,64.59238537
2013-12-05 23:50:00,80.05529151
2013-12-05 23:55:00,80.78756045
2013-12-06 02:30:00,84.81274419
2013-12-06 02:35:00,85.30419785
