date,OT
01/07/2016 0:00,38.66199875
01/07/2016 7:45,29.87299919
01/07/2016 8:00,29.65299988
01/07/2016 15:45,26.79700089
01/07/2016 16:00,26.79700089
01/07/2016 23:45,25.91799927
02/07/2016 0:00,25.91799927
02/07/2016 7:45,25.47850037
02/07/2016 8:00,25.47850037
02/07/2016 15:45,27.6760006
02/07/2016 16:00,27.6760006
02/07/2016 23:45,27.23649979
03/07/2016 0:00,27.67550087
03/07/2016 7:45,27.23649979
03/07/2016 8:00,27.23649979
03/07/2016 15:45,32.29000092
03/07/2016 16:00,32.50999832
03/07/2016 23:45,28.99399948
04/07/2016 0:00,28.99399948
04/07/2016 7:45,27.89550018
04/07/2016 8:00,27.89550018
04/07/2016 15:45,36.90449905
04/07/2016 16:00,36.90449905
04/07/2016 23:45,31.41150093
05/07/2016 0:00,31.41150093
05/07/2016 7:45,31.63100052
05/07/2016 8:00,31.63100052
05/07/2016 15:45,31.63100052
05/07/2016 16:00,31.85050011
05/07/2016 23:45,33.16899872
06/07/2016 0:00,33.16899872
06/07/2016 7:45,32.29000092
06/07/2016 8:00,32.29000092
06/07/2016 15:45,34.26750183
06/07/2016 16:00,33.82799911
06/07/2016 23:45,33.60850143
07/07/2016 0:00,33.60850143
07/07/2016 7:45,33.38850021
07/07/2016 8:00,33.60850143
07/07/2016 15:45,49.86800003
07/07/2016 16:00,48.98899841
07/07/2016 23:45,38.44250107
08/07/2016 0:00,38.22299957
08/07/2016 7:45,37.34400177
08/07/2016 8:00,37.78300095
08/07/2016 15:45,47.45100021
08/07/2016 16:00,47.01200104
08/07/2016 23:45,39.54100037
09/07/2016 0:00,39.32149887
09/07/2016 7:45,37.12400055
09/07/2016 8:00,37.56349945
09/07/2016 15:45,43.9355011
09/07/2016 16:00,44.1554985
09/07/2016 23:45,39.54100037
10/07/2016 0:00,39.32149887
10/07/2016 7:45,36.90449905
10/07/2016 8:00,36.90449905
10/07/2016 15:45,42.61700058
10/07/2016 16:00,42.61700058
10/07/2016 23:45,38.88150024
11/07/2016 0:00,38.88150024
11/07/2016 7:45,36.68450165
11/07/2016 8:00,35.58599854
11/07/2016 15:45,42.61700058
11/07/2016 16:00,42.8370018
11/07/2016 23:45,38.44250107
12/07/2016 0:00,38.44250107
12/07/2016 7:45,37.34349823
12/07/2016 8:00,37.56349945
12/07/2016 15:45,47.67050171
12/07/2016 16:00,47.45100021
12/07/2016 23:45,41.07949829
13/07/2016 0:00,41.07949829
13/07/2016 7:45,38.88150024
13/07/2016 8:00,38.88150024
13/07/2016 15:45,44.1554985
13/07/2016 16:00,44.1554985
13/07/2016 23:45,37.56349945
14/07/2016 0:00,37.78300095
14/07/2016 7:45,36.46500015
14/07/2016 8:00,36.68450165
14/07/2016 15:45,43.05649948
14/07/2016 16:00,43.05649948
14/07/2016 23:45,33.38899994
15/07/2016 0:00,33.38899994
15/07/2016 7:45,37.12400055
15/07/2016 8:00,37.78350067
15/07/2016 15:45,38.22249985
15/07/2016 16:00,37.56349945
15/07/2016 23:45,33.60800171
16/07/2016 0:00,33.60800171
16/07/2016 7:45,33.82799911
16/07/2016 8:00,34.26750183
16/07/2016 15:45,41.95800018
16/07/2016 16:00,42.17750168
