date,OT
01/07/2016 0:00,30.53100014
02/07/2016 7:00,21.10400009
02/07/2016 8:00,20.61199951
03/07/2016 15:00,31.16399956
03/07/2016 16:00,29.75699997
04/07/2016 23:00,25.4659996
05/07/2016 0:00,25.95800018
06/07/2016 7:00,29.61599922
06/07/2016 8:00,30.53100014
07/07/2016 15:00,38.47999954
07/07/2016 16:00,36.79100037
08/07/2016 23:00,30.53100014
09/07/2016 0:00,30.95299911
10/07/2016 7:00,27.50600052
10/07/2016 8:00,28.06800079
11/07/2016 15:00,34.75099945
11/07/2016 16:00,34.8219986
12/07/2016 23:00,36.22900009
13/07/2016 0:00,36.50999832
14/07/2016 7:00,33.8370018
14/07/2016 8:00,35.8769989
15/07/2016 15:00,25.81699944
15/07/2016 16:00,24.90299988
16/07/2016 23:00,30.88199997
17/07/2016 0:00,31.30400085
18/07/2016 7:00,36.58000183
18/07/2016 8:00,34.40000153
19/07/2016 15:00,32.07799911
19/07/2016 16:00,32.07799911
20/07/2016 23:00,35.73600006
21/07/2016 0:00,34.89199829
22/07/2016 7:00,38.62099838
22/07/2016 8:00,38.19800186
23/07/2016 15:00,41.01200104
23/07/2016 16:00,41.22299957
24/07/2016 23:00,40.09799957
25/07/2016 0:00,39.95700073
26/07/2016 7:00,40.52000046
26/07/2016 8:00,40.94200134
27/07/2016 15:00,41.36399841
27/07/2016 16:00,42.98199844
28/07/2016 23:00,38.83200073
29/07/2016 0:00,39.67599869
30/07/2016 7:00,41.36399841
30/07/2016 8:00,44.31900024
31/07/2016 15:00,38.26900101
31/07/2016 16:00,38.26900101
01/08/2016 23:00,36.15800095
02/08/2016 0:00,35.66600037
03/08/2016 7:00,31.79700089
03/08/2016 8:00,30.38999939
04/08/2016 15:00,32.57099915
04/08/2016 16:00,34.75099945
05/08/2016 23:00,33.20399857
06/08/2016 0:00,32.85200119
07/08/2016 7:00,33.13299942
07/08/2016 8:00,34.04800034
08/08/2016 15:00,35.80699921
08/08/2016 16:00,38.19800186
09/08/2016 23:00,32.14899826
10/08/2016 0:00,31.23399925
11/08/2016 7:00,29.33499908
11/08/2016 8:00,29.47500038
12/08/2016 15:00,33.41500092
12/08/2016 16:00,35.38499832
13/08/2016 23:00,32.28900146
