date,meantemp
2017-01-01,15.91304347826087
2017-01-02,18.5
2017-01-03,17.11111111111111
2017-01-06,19.318181818181817
2017-01-07,14.708333333333334
2017-01-11,11.0
2017-01-15,16.434782608695652
2017-01-17,11.72222222222222
2017-01-25,21.0
2017-01-28,14.863636363636363
2017-02-02,17.09090909090909
2017-02-03,15.636363636363637
2017-02-04,18.7
2017-02-10,14.666666666666666
2017-02-20,23.375
2017-02-22,19.125
2017-02-26,18.75
2017-03-01,24.46153846153846
2017-03-04,19.125
2017-03-07,22.625
2017-03-13,17.444444444444443
2017-03-16,24.0
2017-03-17,20.9
2017-03-18,24.692307692307693
2017-03-20,23.33333333333333
2017-03-22,27.25
2017-03-24,28.916666666666668
2017-03-25,26.5
2017-03-29,31.0
2017-04-05,29.23076923076923
2017-04-06,31.22222222222222
2017-04-08,25.625
2017-04-18,34.0
2017-04-24,32.0
